genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0
7SK,0,0,0,0,0,0,0,0,0,0,0,0
A1BG,0,0,0,3,0,3,0,0,16,0,1,14
A1BG-AS1,9,0,0,8,20,5,1,22,115,0,4,75
A1CF,0,0,0,17,2,0,0,0,0,0,1,3
A2M,3,0,0,88,142,13,0,6,120,10,174,0
A2M-AS1,0,0,2,2,18,0,1,13,1,0,10,1
A2ML1,0,0,1,3,5,0,0,0,2,0,1,2
A2ML1-AS1,0,0,0,0,0,1,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,2,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,1
A4GALT,83,2,4,75,126,22,8,274,432,97,101,644
A4GNT,0,0,0,0,0,0,0,0,6,0,2,7
AA06,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,97,1,5,173,211,393,6,108,542,56,326,565
AACS,65,4,8,399,576,665,17,441,1196,132,309,457
AACSP1,0,0,0,0,14,0,0,0,0,0,0,0
AADAC,0,0,0,4,0,0,0,3,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,3,6,0,0,0,2,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,1
AADAT,21,0,2,122,161,137,2,35,126,67,179,103
AAGAB,37,12,15,341,443,720,7,605,486,480,953,555
AAK1,104,0,6,928,1057,893,3,265,1147,226,2119,1875
AAMDC,14,3,0,62,36,83,0,254,194,0,178,93
AAMP,46,0,7,307,462,581,8,561,1341,85,510,1062
AANAT,0,0,0,1,0,0,0,0,0,0,0,0
AAR2,9,2,2,229,210,170,1,97,594,28,269,457
AARD,0,0,2,7,0,0,0,159,1,1,15,2
AARS1,72,14,27,2955,3656,3322,16,320,1568,410,5967,2159
AARS1P1,0,0,0,0,0,0,0,0,0,0,0,0
AARS2,47,1,1,97,170,160,1,57,324,80,269,271
AARSD1,6,0,0,18,13,14,1,3,17,0,25,25
AASDH,71,2,2,126,101,272,4,338,232,68,242,133
AASDHPPT,39,5,2,310,486,573,4,437,790,14,698,570
AASS,242,8,15,190,439,342,10,186,1017,127,1254,392
AATBC,0,0,0,7,0,0,0,1,3,0,2,9
AATF,43,17,9,593,840,908,5,203,503,49,1171,533
AATK,0,0,0,2,1,0,0,4,12,0,5,16
ABALON,5,0,1,0,30,0,1,25,7,17,0,7
ABAT,11,3,3,87,47,26,2,70,548,5,100,76
ABBA01000935.2,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01006766.1,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01045074.1,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,86,4,6,1115,1641,3170,14,833,2187,94,3067,2491
ABCA10,9,0,1,36,8,32,0,5,29,79,80,27
ABCA11P,0,0,0,18,8,47,0,4,7,0,15,9
ABCA12,0,0,0,36,44,0,0,0,0,0,20,7
ABCA13,0,0,0,313,71,115,0,0,0,0,88,12
ABCA17P,0,0,0,21,0,0,0,2,4,0,1,4
ABCA2,39,1,0,242,175,364,1,142,1986,46,639,2277
ABCA3,0,0,0,9,21,0,0,2,29,0,32,38
ABCA4,0,0,0,32,0,4,0,0,2,0,12,4
ABCA5,62,5,4,382,605,369,3,146,277,27,739,139
ABCA6,210,1,15,322,305,493,5,210,330,74,847,655
ABCA7,11,0,0,10,0,31,2,22,216,0,26,421
ABCA8,166,6,5,87,59,321,5,673,2139,32,1425,1803
ABCA9,68,0,4,20,54,72,1,55,87,0,373,498
ABCA9-AS1,0,0,0,0,0,0,0,0,1,0,14,5
ABCB1,0,0,0,4,20,12,0,0,1,0,1,0
ABCB10,36,3,13,255,245,372,6,186,255,101,315,182
ABCB10P1,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,3,0,0,0,0
ABCB11,0,0,0,2,17,0,0,0,1,0,0,0
